lecturer_id,student_id,course_code,teamwork_score,communication_score,effort_score,professionalism_score,comment
LEC103,STD1000,PHY111,8,7,5,4,
LEC101,STD1000,ENG101,5,2,10,6,Needs improvement
LEC101,STD1001,CSC101,6,8,5,1,Good progress
LEC102,STD1001,ENG101,9,3,6,5,
LEC103,STD1002,PHY111,6,8,3,2,
LEC103,STD1002,CSC102,2,1,7,5,Needs improvement
LEC101,STD1003,CSC102,3,7,6,4,Needs improvement
LEC103,STD1003,ENG101,9,2,2,6,Good progress
LEC101,STD1004,PHY111,6,1,6,4,
LEC102,STD1004,ENG101,2,3,7,4,Good progress
LEC101,STD1005,MAT110,8,6,5,2,Excellent leadership
LEC101,STD1005,PHY111,4,10,10,9,Good progress
LEC101,STD1006,PHY111,8,7,5,6,
LEC103,STD1006,CSC102,4,2,8,7,
LEC102,STD1007,ENG101,2,7,2,10,Good progress
LEC103,STD1007,CSC102,1,1,2,3,
LEC103,STD1008,ENG101,10,1,8,8,Good progress
LEC101,STD1008,PHY111,5,6,4,4,Excellent leadership
LEC101,STD1009,MAT110,4,5,9,10,Excellent leadership
LEC102,STD1009,PHY111,8,2,3,7,Good progress
LEC102,STD1010,CSC102,1,7,10,4,Needs improvement
LEC102,STD1010,PHY111,4,1,1,9,Needs improvement
LEC103,STD1011,CSC102,1,6,3,2,Needs improvement
LEC102,STD1011,CSC101,9,2,3,1,
LEC103,STD1012,PHY111,8,3,5,1,Good progress
LEC102,STD1012,ENG101,6,3,7,4,Excellent leadership
LEC101,STD1013,PHY111,8,2,4,1,Needs improvement
LEC103,STD1013,CSC102,8,9,3,8,Excellent leadership
LEC103,STD1014,MAT110,7,9,3,8,Good progress
LEC102,STD1014,CSC102,2,5,6,6,Good progress
LEC101,STD1015,CSC101,5,1,8,5,
LEC102,STD1015,CSC102,7,3,3,10,Needs improvement
LEC103,STD1016,CSC102,3,4,2,6,Good progress
LEC101,STD1016,CSC101,9,3,9,6,Good progress
LEC102,STD1017,MAT110,4,7,7,1,
LEC103,STD1017,PHY111,8,7,7,9,Needs improvement
LEC102,STD1018,PHY111,2,7,8,1,Good progress
LEC103,STD1018,ENG101,5,7,5,9,
LEC103,STD1019,CSC102,9,7,9,3,
LEC103,STD1019,CSC101,7,7,3,2,Good progress
LEC101,STD1020,PHY111,9,2,8,1,
LEC103,STD1020,CSC101,1,3,9,9,Excellent leadership
LEC103,STD1021,CSC102,7,5,4,7,Excellent leadership
LEC101,STD1021,MAT110,3,10,7,4,
LEC103,STD1022,CSC101,9,9,5,4,Excellent leadership
LEC102,STD1022,CSC102,7,8,6,1,Needs improvement
LEC102,STD1023,PHY111,4,6,10,7,Excellent leadership
LEC102,STD1023,CSC102,7,3,2,3,Needs improvement
LEC101,STD1024,MAT110,4,6,8,5,Excellent leadership
LEC103,STD1024,CSC102,10,2,2,5,Excellent leadership
LEC102,STD1025,MAT110,2,9,3,5,Needs improvement
LEC102,STD1025,CSC102,8,9,3,7,Excellent leadership
LEC102,STD1026,ENG101,4,10,1,10,Needs improvement
LEC103,STD1026,MAT110,7,4,3,2,Excellent leadership
LEC102,STD1027,PHY111,10,8,7,10,Excellent leadership
LEC102,STD1027,MAT110,7,3,10,10,Needs improvement
LEC101,STD1028,MAT110,6,10,6,10,Good progress
LEC102,STD1028,PHY111,2,2,5,10,Needs improvement
LEC103,STD1029,CSC102,7,6,7,8,Excellent leadership
LEC103,STD1029,MAT110,10,5,10,4,Needs improvement
LEC103,STD1030,PHY111,6,3,4,3,Excellent leadership
LEC102,STD1030,CSC101,10,9,4,1,Good progress
LEC101,STD1031,MAT110,10,3,4,7,Needs improvement
LEC102,STD1031,PHY111,9,5,4,9,Excellent leadership
LEC101,STD1032,PHY111,9,4,6,8,Needs improvement
LEC101,STD1032,ENG101,5,10,7,2,Needs improvement
LEC102,STD1033,ENG101,9,2,8,4,Excellent leadership
LEC101,STD1033,CSC101,8,10,3,2,Excellent leadership
LEC103,STD1034,MAT110,9,3,8,1,Excellent leadership
LEC102,STD1034,PHY111,10,3,7,1,Good progress
LEC101,STD1035,ENG101,4,6,3,8,Needs improvement
LEC103,STD1035,CSC102,6,1,6,9,Good progress
LEC102,STD1036,PHY111,2,1,8,4,
LEC101,STD1036,MAT110,9,3,10,3,Good progress
LEC101,STD1037,ENG101,2,9,10,3,Excellent leadership
LEC101,STD1037,CSC102,3,4,10,9,Good progress
LEC103,STD1038,ENG101,1,5,2,3,Excellent leadership
LEC102,STD1038,MAT110,2,5,2,4,Excellent leadership
LEC101,STD1039,PHY111,1,1,3,10,
LEC101,STD1039,CSC101,10,4,10,8,
